<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20160608,150000,138.8000000,139.1500000,138.4400000,138.4900000,4079910
SBER,60,20160608,160000,138.4500000,139.0600000,137.7900000,137.8000000,9035550
SBER,60,20160608,170000,137.7800000,138.7500000,137.4400000,137.9000000,9538090
SBER,60,20160608,180000,137.9400000,139.4800000,137.6400000,139.3900000,9054220
SBER,60,20160609,100000,139.8900000,140.1400000,137.6200000,137.7200000,11385720
SBER,60,20160609,110000,137.7400000,138.2500000,137.0700000,137.9400000,5500810
SBER,60,20160609,120000,137.9200000,138.5000000,137.6000000,138.1200000,3350050
SBER,60,20160609,130000,138.1100000,138.1100000,137.1800000,137.7100000,4809000
SBER,60,20160609,140000,137.7300000,138.8500000,137.6200000,138.6100000,4154020
SBER,60,20160609,150000,138.6900000,139.9000000,138.6300000,139.6600000,8058140
SBER,60,20160609,160000,139.6600000,140.7100000,139.4200000,140.2200000,6719040
SBER,60,20160609,170000,140.1700000,140.3800000,138.6900000,138.9800000,6446130
SBER,60,20160609,180000,138.9400000,139.8800000,138.8300000,139.6100000,6142390
SBER,60,20160610,100000,137.7800000,137.9400000,136.3800000,136.8500000,12048870
SBER,60,20160610,110000,136.8500000,137.3900000,136.1800000,136.1900000,6319500
SBER,60,20160610,120000,136.1900000,136.6700000,136.1800000,136.4900000,3404740
SBER,60,20160610,130000,136.5100000,136.9800000,136.0500000,136.2000000,5751370
SBER,60,20160610,140000,136.1500000,136.1600000,135.1100000,135.1900000,7381210
SBER,60,20160610,150000,135.1900000,135.7400000,134.7700000,135.0000000,5831570
SBER,60,20160610,160000,135.0000000,135.3500000,134.7000000,135.0100000,4357410
SBER,60,20160610,170000,135.0100000,135.0800000,133.5700000,133.7300000,10207050
SBER,60,20160610,180000,133.6600000,134.1600000,133.3500000,133.5000000,9179280
SBER,60,20160614,100000,131.2100000,132.3700000,129.2900000,129.9100000,29912660
SBER,60,20160614,110000,129.9500000,129.9500000,128.3100000,128.6100000,17082680
SBER,60,20160614,120000,128.6200000,128.6300000,127.3500000,127.7200000,15667900
SBER,60,20160614,130000,127.6800000,128.4000000,126.9400000,127.1800000,8516320
SBER,60,20160614,140000,127.2200000,127.4700000,126.7500000,127.0900000,6389430
SBER,60,20160614,150000,127.0600000,127.8600000,126.8100000,127.8600000,6197580
SBER,60,20160614,160000,127.8400000,127.9700000,126.8200000,127.1400000,9391790
SBER,60,20160614,170000,127.1500000,127.2900000,126.3800000,126.5800000,8716730
SBER,60,20160614,180000,126.6000000,127.0800000,126.1500000,127.0800000,7342690
SBER,60,20160615,100000,126.9000000,128.5900000,126.6100000,128.5300000,13678520
SBER,60,20160615,110000,128.5300000,129.8000000,128.2000000,129.2400000,12534990
